;TOPSIS
Projektni tajnik;0.6184714950185729
Prodajalec velenje;0.6506448098254318
barmen Mons;0.6348713291199123
barmen Coffee shop;0.5649596959787538
barmen Union;0.7885736086565491
barmen Test;0.6032372443145403
barmen in a bar;0.4789261109136616
barmen tea shop;0.4140415485016015
school cook;0.28080855336777566
cook in a resturant;0.2737412083066542
merchant in a food store;0.5088857278132112
merchant in a store with clothes;0.582660186441702
merchant in a pet store;0.4257615843817944
baker;0.2831994352530963
confectioner;0.2210479867724618
hairdresser;0.2831994352530963
beautician;0.40414397528421175
1507;1.0
New;0.7116820349091978
