;Education type;Education level;Driver's license;Additional qualifications;Communication;Listening;Planning;Organization;Flexibility;Responsibility;Self-initiative;Type;Duration
Candidate 1;no;higher;no;no;higher;higher;higher;equal;higher;equal;equal;no;lower
Candidate 2;no;equal;no;no;equal;equal;lower;lower;equal;equal;equal;no;lower
Candidate 3;yes;equal;yes;no;equal;equal;lower;lower;equal;equal;equal;no;lower
Candidate 4;no;equal;no;no;equal;equal;lower;equal;equal;equal;equal;no;lower
Candidate 5;yes;equal;yes;yes;equal;equal;equal;equal;higher;higher;higher;yes;higher
Candidate 6;yes;equal;yes;yes;equal;equal;equal;equal;equal;equal;equal;yes;lower
Candidate 7;no;equal;no;no;lower;lower;lower;lower;higher;higher;higher;no;lower
Candidate 8;no;equal;yes;yes;higher;higher;equal;equal;higher;higher;higher;yes;equal
Candidate 9;no;higher;no;no;higher;higher;equal;equal;higher;higher;higher;no;lower
Candidate 10;yes;equal;yes;yes;equal;equal;equal;equal;equal;equal;equal;yes;higher
Candidate 11;no;equal;no;no;equal;equal;lower;lower;equal;equal;equal;no;lower
Candidate 12;yes;equal;yes;yes;equal;equal;equal;equal;higher;higher;higher;yes;equal
Candidate 13;no;equal;no;no;lower;lower;equal;equal;equal;equal;equal;no;lower
Candidate 14;no;equal;no;no;equal;equal;lower;lower;higher;equal;equal;no;lower
Candidate 15;no;higher;no;no;equal;equal;equal;equal;equal;equal;equal;no;lower
